#iRID	sRewardData
920405	(17,60011,0,200083)*(42,60011,10,200104)*(19,20011,0,200084)
920406	(17,60012,0,200083)*(42,60012,10,200104)*(19,20012,0,200084)
920407	(20,29989064,0,0)
920408	(20,29980055,0,0)
920409	(18,80027,0,200091)
920410	(20,29980056,0,0)
920411	(20,29980057,0,0)
920412	(20,29980058,0,0)*(1,0,5,200011)*(18,80028,0,200091)
920413	(18,80029,0,200091)
920414	(7,990128,1,200054)
920415	(7,990126,1,200054)
920416	(7,990127,1,200054)
920417	(20,29980059,0,0)
920418	(7,990069,1,200054)
920419	(7,990032,1,200054)
920420	(20,29980062,0,0)*(1,0,5,200011)
920421	(37,0,0,0)
920422	(1,0,3,200011)
920423	(7,300010,2,200054)
920424	(7,990129,1,200054)*(7,100205,3,200054)
920425	(1,0,3,200011)*(7,220383,1,200054)
920426	(7,990129,-1,200070)*(1,3,20,200014)*(7,310018,1,200054)
920427	(6,100015,10,200005)*(6,100016,10,200005)*(7,100412,3,200054)
920428	(20,29981001,0,0)
920429	(7,990130,1,200054)
920430	(7,990003,1,200054)
920431	(7,100265,10,200054)
920432	(7,100014,5,200054)
920433	(7,300014,3,200054)
920434	(7,990131,1,200054)
920435	(20,29981002,0,0)
920436	(7,100413,10,200054)
920437	(7,990132,1,200054)
920438	(7,990133,1,200054)
920439	(7,660015,1,200054)
920440	(20,29981003,0,0)
920441	(7,920023,1,200054)
920442	(13,20405,0,210013)*(14,0,100000,200067)
950001	(14,0,2000,200067)*(7,300007,2,200054)
950002	(14,0,4000,200067)*(7,220405,1,200054)
950003	(14,0,2000,200067)*(7,300008,2,200054)
950004	(14,0,4000,200067)*(7,200326,1,200054)
950005	(7,220208,1,200054)*(7,220110,1,200054)*(14,0,8000,200067)
950006	(7,930002,1,200054)
950007	(14,0,2000,200067)
950008	(7,300008,1,200054)
950009	(7,100104,1,200054)
950010	(7,100058,1,200054)
950011	(7,930002,1,200054)
950012	(7,220108,1,200054)
950013	(7,200334,1,200054)
950014	(14,0,5000,200067)
950015	(14,0,2000,200067)*(7,930002,1,200054)
950016	(7,930002,1,200054)*(7,100055,1,200054)
950017	(7,930002,1,200054)*(7,100103,1,200054)
950018	(7,930002,1,200054)*(7,300008,1,200054)
950019	(7,930002,1,200054)*(7,300002,1,200054)
950020	(7,930002,5,200054)
950021	(7,930002,5,200054)
950022	(14,0,2000,200067)
950023	(7,300002,2,200054)*(1,2,-5,200055)
950024	(7,300005,2,200054)*(1,2,-5,200055)
950025	(7,300008,2,200054)*(1,2,-5,200055)
950026	(7,300009,2,200054)*(7,220202,1,200054)*(1,2,-5,200055)
950027	(7,300010,2,200054)*(7,699002,1,200054)*(1,2,-5,200055)
950028	(7,300007,2,200054)*(1,2,-5,200055)
950029	(7,690015,1,200054)
950030	(7,300009,2,200054)*(7,920005,1,200054)
950031	(14,0,10000,200067)
950032	(14,0,20000,200067)
950033	(14,0,50000,200067)
950034	(14,0,2000,200067)*(7,930002,1,200054)*(7,699005,1,200054)
950035	(14,0,2000,200067)*(7,930002,1,200054)*(7,699007,1,200054)
950036	(7,930002,1,200054)*(7,300008,1,200054)*(7,200008,1,200054)
950037	(7,930002,1,200054)*(7,300002,1,200054)*(7,200007,1,200054)
950038	(7,930002,1,200054)*(7,100055,1,200054)*(7,220206,1,200054)
950039	(7,930002,1,200054)*(7,100103,1,200054)*(7,100055,1,200054)
950040	(7,930002,1,200054)*(7,699009,1,200054)
950041	(7,930002,1,200054)*(7,690010,1,200054)
950042	(7,930002,1,200054)*(7,699008,1,200054)
950043	(7,300008,1,200054)*(7,600005,1,200054)
950044	(7,220108,1,200054)*(7,699011,1,200054)
950045	(7,200334,1,200054)*(7,699010,1,200054)
980001	(35,91,0,0)
980002	(35,92,0,0)
980003	(35,93,0,0)
980004	(35,94,0,0)
980005	(35,95,0,0)
990001	(21,0,6000012,0)*(1,0,10,200011)
990002	(21,0,6000013,0)*(1,0,5,200011)
990003	(21,0,6000022,0)*(1,0,10,200011)
990004	(21,0,6000023,0)*(1,0,5,200011)
990005	(21,0,6000032,0)*(1,0,10,200011)
990006	(21,0,6000033,0)*(1,0,5,200011)
990007	(21,0,6000042,0)*(1,0,10,200011)
990008	(21,0,6000043,0)*(1,0,5,200011)
990009	(21,0,6000052,0)*(1,0,10,200011)
990010	(21,0,6000053,0)*(1,0,5,200011)
990011	(21,0,6000062,0)*(1,0,10,200011)
990012	(21,0,6000063,0)*(1,0,5,200011)
990013	(21,0,6000072,0)*(1,0,10,200011)
990014	(21,0,6000073,0)*(1,0,5,200011)
990015	(21,0,6000082,0)*(1,0,10,200011)
990016	(21,0,6000083,0)*(1,0,5,200011)
990017	(21,0,6000304,0)*(1,0,5,200011)
990018	(21,0,6000303,0)*(1,0,10,200011)
990019	(21,0,6000403,0)*(1,0,10,200011)
990020	(21,0,6000503,0)*(1,0,10,200011)
990021	(21,0,6000603,0)*(1,0,10,200011)
990022	(21,0,6000703,0)*(1,0,10,200011)
990023	(21,0,6000803,0)*(1,0,10,200011)
990024	(21,0,6000903,0)*(1,0,10,200011)
990025	(21,0,6001003,0)*(1,0,10,200011)
990026	(21,0,6001103,0)*(1,0,10,200011)
990027	(21,0,6001203,0)*(1,0,10,200011)
990028	(21,0,6001303,0)*(1,0,10,200011)
990029	(21,0,6001403,0)*(1,0,10,200011)
990030	(21,0,6001503,0)*(1,0,10,200011)
990031	(21,0,6001603,0)*(1,0,10,200011)
990032	(6,100016,10,200005)
990033	(6,100016,5,200005)
990034	(6,100094,10,200005)
990035	(6,100094,5,200005)
990036	(40,0,10007803,210026)
990037	(40,0,10006003,210026)
990038	(40,0,10009204,210026)
990039	(40,0,10009103,210026)
990040	(40,0,10009403,210026)
990041	(40,0,10029703,210026)
990042	(40,0,10009803,210026)
990043	(40,0,10029903,210026)
990044	(40,0,10003303,210026)
990045	(40,0,10005803,210026)
990046	(40,0,10003503,210026)
990047	(40,0,10008503,210026)
990048	(40,0,10007203,210026)
990049	(40,0,10005502,210026)
990050	(40,0,10005703,210026)
990051	(40,0,10005603,210026)
990052	(40,0,10004304,210026)
990053	(40,0,10003604,210026)
990054	(40,0,10005403,210026)
990055	(40,0,10041903,210026)
990056	(40,0,10002903,210026)
990057	(40,0,10005902,210026)
990058	(40,0,10002104,210026)
990059	(40,0,10008202,210026)
990060	(35,13,0,0)
990061	(35,14,0,0)
990062	(35,15,0,0)
990063	(35,16,0,0)
990064	(35,17,0,0)
990065	(35,18,0,0)
990066	(35,87,0,0)
990067	(35,88,0,0)
990068	(35,89,0,0)
990069	(35,90,0,0)
990070	(35,86,0,0)
990071	(20,21170005,0,0)
990072	(40,0,10001401,210026)
990073	(40,1,10001401,210019)
